Product ID;Product Name;Category;Sub Category;Proveedor ID;Marca;Costo por unidad;Otros impuestos 2%; Total costo ;25%  Rentabilidad;IVA 21%;Precio final;;
P077;Pepsi Black 500ml;Bebidas;Gaseosas;pr002;Pepsi; $ 1.661 ;33; $ 1.694 ; $ 2.118 ; $ 445 ; $ 2.563 ;;
P078;Pepsi 1,5l;Bebidas;Gaseosas;pr002;Pepsi; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P079;Pepsi Black 1,5l;Bebidas;Gaseosas;pr002;Pepsi; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P080;Pepsi 2l;Bebidas;Gaseosas;pr002;Pepsi; $ 3.876 ;78; $ 3.954 ; $ 4.942 ; $ 1.038 ; $ 5.980 ;;
P081;Pepsi Black 2l;Bebidas;Gaseosas;pr002;Pepsi; $ 3.876 ;78; $ 3.954 ; $ 4.942 ; $ 1.038 ; $ 5.980 ;;
P082;Seven up lata 354ml;Bebidas;Gaseosas;pr002;Seven up; $ 1.218 ;24; $ 1.243 ; $ 1.553 ; $ 326 ; $ 1.879 ;;
P083;Seven up 500ml;Bebidas;Gaseosas;pr002;Seven up; $ 1.661 ;33; $ 1.694 ; $ 2.118 ; $ 445 ; $ 2.563 ;;
P084;Seven up 1,5l;Bebidas;Gaseosas;pr002;Seven up; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P085;Seven up light 1,5l;Bebidas;Gaseosas;pr002;Seven up; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P086;Seven up 2,25l;Bebidas;Gaseosas;pr002;Seven up; $ 3.876 ;78; $ 3.954 ; $ 4.942 ; $ 1.038 ; $ 5.980 ;;
P087;Seven up light 2,25l;Bebidas;Gaseosas;pr002;Seven up; $ 3.876 ;78; $ 3.954 ; $ 4.942 ; $ 1.038 ; $ 5.980 ;;
P088;Paso de los toros lata 269ml;Bebidas;Gaseosas;pr002;Paso de los toros; $ 1.107 ;22; $ 1.130 ; $ 1.412 ; $ 297 ; $ 1.709 ;;
P089;Paso de los toros 500ml;Bebidas;Gaseosas;pr002;Paso de los toros; $ 1.550 ;31; $ 1.581 ; $ 1.977 ; $ 415 ; $ 2.392 ;;
P090;Pasos de los toros tonica 269ml;Bebidas;Gaseosas;pr002;Paso de los toros; $ 1.107 ;22; $ 1.130 ; $ 1.412 ; $ 297 ; $ 1.709 ;;
P091;Paso de los toros 1,5l ;Bebidas;Gaseosas;pr002;Paso de los toros; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P092;Paso de los toros tonica 1,5l;Bebidas;Gaseosas;pr002;Paso de los toros; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P093;Paso de los toros light 1,5l;Bebidas;Gaseosas;pr002;Paso de los toros; $ 3.322 ;66; $ 3.389 ; $ 4.236 ; $ 890 ; $ 5.126 ;;
P094;Paso de los toros 2,25l;Bebidas;Gaseosas;pr002;Paso de los toros; $ 3.987 ;80; $ 4.067 ; $ 5.083 ; $ 1.067 ; $ 6.151 ;;
P095;Red bull 250ml;Bebidas;Bebida energetica;pr003;Red bull; $ 2.769 ;55; $ 2.824 ; $ 3.530 ; $ 741 ; $ 4.271 ;;
